unit,duration,partner,age,geo\time	2012 	2013 	2014 	2015 	2016 	2017 
NR,N_GE1,WORLD,Y25-44,CY	215111 e	209906 e	186417 e	195937 e	202258 e	: 
NR,N_GE1,WORLD,Y25-44,CZ	2648655 	2527008 	2892206 	2855697 	2773773 	: 
NR,N_GE1,WORLD,Y25-44,DE	17658440 	17018945 	17027094 	16833073 	16277204 	16189390 
NR,N_GE1,WORLD,Y25-44,DK	1194868 e	1149916 	1230262 	1126698 	1219579 	: 
NR,N_GE1,WORLD,Y25-44,EE	295246 	289173 	327915 	310608 	309748 	: 
NR,N_GE1,WORLD,Y25-44,EL	1383800 	1187767 	1433416 	1263740 	1259654 	: 
NR,N_GE1,WORLD,Y25-44,ES	8320961 	8159359 	7961483 	9664458 b	9843112 	: 
NR,N_GE1,WORLD,Y25-44,FI	1282279 	1289284 	1305066 	1318707 	1331586 	: 
NR,N_GE1,WORLD,Y25-44,FR	13835665 	13543763 	13114747 	13115394 	12905396 	: 
NR,N_GE1,WORLD,Y25-44,HR	744993 	504000 	544163 	560894 b	619819 	: 
NR,N_GE1,WORLD,Y25-44,HU	1682893 	1700231 	1707948 	1715340 	1743007 	: 
NR,N_GE1,WORLD,Y25-44,IE	1057132 	1036955 	1083714 	1054019 	1099584 	1057915 
NR,N_GE1,WORLD,Y25-44,IT	10257316 	8614866 	7009401 b	7905359 	8013196 	: 
NR,N_GE1,WORLD,Y25-44,LT	540184 	565570 	567634 	569757 	549914 	: 
NR,N_GE1,WORLD,Y25-44,LU	139304 	147828 	145538 	154464 	148871 	: 
NR,N_GE1,WORLD,Y25-44,LV	307825 	372011 	373676 	369279 	386571 	: 
NR,N_GE1,WORLD,Y25-44,ME	: 	: 	: 	: 	: c	: 
NR,N_GE1,WORLD,Y25-44,MT	66707 	67598 	72781 	76515 	88817 	: 
NR,N_GE1,WORLD,Y25-44,NL	3893403 	3808354 	3652017 	3636505 	3683517 	: 
NR,N_GE1,WORLD,Y25-44,NO	: 	1276190 	: 	: 	: 	: 
NR,N_GE1,WORLD,Y25-44,PL	6300000 	6940000 	6586819 	7028997 	7229417 	: 
NR,N_GE1,WORLD,Y25-44,PT	1243504 	1248234 	1240419 	1361797 	1345219 	: 
NR,N_GE1,WORLD,Y25-44,RO	1817440 	2079100 	1975765 	2028221 	1857971 	: 
NR,N_GE1,WORLD,Y25-44,SE	: u	: 	1822950 	1949996 	1908245 	: 
NR,N_GE1,WORLD,Y25-44,SI	418210 	446124 e	453078 e	456060 	465765 	: 
